Material,Polymer family,Density (g/cm3),Tg (C),HDT (C),Thermal conductivity (W/m-K),Water absorption 24h (%),UV / weather resistance,IR emissivity,Solar absorptance,Printability / fabrication,Relative cost,Used in literature,Primary goal served,Lab status (open FDM),Source / confidence
PLA,Polylactic acid (semi-crystalline),~1.24,~60,~55 (unannealed),~0.13,~0.5,Poor (embrittles and discolours outdoors),~0.9 (typical opaque polymer),"Color/finish dependent - TBD, measure (white ~0.2-0.3, dark ~0.9)",Easy; low temp; no enclosure needed,Low,"Botero 2022 (PLA shield variant)",Accuracy screening only - not durable outdoors,"Baseline/control; in-house easy; do NOT deploy uncoated outdoors","Tg/UV: SigmaFilament 2026 chart; density/HDT/water/k: standard polymer values, verify against chosen filament TDS; solar absorptance: not on any TDS = MEASURE"
ABS,Acrylonitrile butadiene styrene (amorphous),~1.04,~105,~98,~0.17,~0.3,Poor (yellows / embrittles under UV),~0.9,"Color/finish dependent - TBD, measure",Hard; warps; needs heated bed + enclosure; styrene fumes,Low-Med,"General low-cost enclosure baseline",Heat resistance but UV-limited outdoors,"Not recommended in-house (warps/fumes on open FDM)","Tg/UV: SigmaFilament 2026; other props: standard polymer values - verify TDS"
ASA,Acrylonitrile styrene acrylate (amorphous),~1.07,~100,~95,~0.17,~0.3-0.5,Excellent (UV-stable - designed for outdoor),~0.9,"Color/finish dependent - TBD, measure; white ASA preferred",Hard; warps like ABS; needs heated bed + enclosure,Med,"Theisen 2020 (off-white ASA, >100 parts); Botero 2022 (ASA shield, preferred over PLA for UV)",Accuracy + autonomy (best outdoor material),"Best per literature but HARD on open FDM (needs enclosure) - outsource prints or treat as upgrade path","Tg/UV: SigmaFilament 2026; Theisen confirms field UV durability; other props: standard polymer values - verify TDS"
PETG,Polyethylene terephthalate glycol (amorphous),~1.27,~80,~70,~0.2,~0.2 (hygroscopic when printing),Moderate-Good,~0.9,"Color/finish dependent - TBD, measure",Easy; low warp; low odor,Low,"Common low-cost option (not the primary material in cited enclosure papers)",Autonomy / manufacturability balance,"PRIMARY in-house outdoor candidate (open FDM friendly; pair with UV coat for longevity)","Tg/UV: SigmaFilament 2026; other props: standard polymer values - verify TDS"
PC,Polycarbonate (amorphous),~1.20,~140,~130,~0.2,~0.15-0.35 (hygroscopic),Moderate (needs UV-stabilized grade or coating),~0.9,"Color/finish dependent - TBD, measure",Very hard; 270-310C hotend; heated chamber; must be dried,High,"Not used in cited enclosure papers",High-temperature / high-strength option,"Not feasible in-house on open FDM - outsource only if needed","Tg/UV: SigmaFilament 2026; other props: standard polymer values - verify TDS"
PMMA (acrylic),Poly(methyl methacrylate) (amorphous),~1.18,~105,~95,~0.19,~0.3,Excellent (UV-stable),~0.9,"Color/finish dependent - TBD, measure; clear grades transmit solar",Usually cast/extruded sheet rather than FDM; brittle to print,Med,"Not used in cited enclosure papers",UV-stable windows / clear covers,"Buy/laser-cut sheet (not FDM); use for clear covers if needed","Standard polymer values - verify supplier datasheet; FDM use limited"
PVC (commercial box / pipe),Polyvinyl chloride (amorphous),~1.38,n/a,~60-70,~0.16,~0.04-0.4,Moderate (carbon-black or painted grades better; UV-stabilized exterior grades available),~0.9,"Color/finish dependent - TBD, measure",Off-the-shelf parts (not printed); easy to source/assemble,Low,"Theisen 2020 (PVC frame/crossarm); Botero 2022 (1-inch PVC coupling base/mount)",Structural mount + sealed commercial enclosure,"Off-the-shelf - buy (frame/mount and sealed electronics box)","Standard PVC values - verify supplier datasheet; used structurally not as shield"
White reflective paint / primer (surface treatment),Coating over printed polymer,n/a,n/a,n/a,n/a,n/a,Improves UV durability of substrate,~0.9 (painted surface),"LOW when white/reflective (~0.2-0.3) - the lever to control solar heating; MEASURE actual coating",Brush/spray onto printed PLA/PETG; in-house,Low,"Implied by Theisen (gray ASA funnel sealed/coated)",Accuracy (cuts solar heating) + autonomy (UV),"In-house candidate: cheap way to lower solar absorptance and extend life of open-FDM prints","Engineering rationale; actual absorptance and adhesion/durability MUST be measured"
UV-resistant clear coat (surface treatment),"Coating (e.g., UV-stable polyurethane / acrylic lacquer)",n/a,n/a,n/a,n/a,n/a,Extends outdoor life of PLA/PETG substrate,~0.9,"Minimal change if clear - does not fix solar heating; pair with white paint",Brush/spray onto printed parts; in-house,Low,"Theisen 2020 (polyurethane used to seal a print)",Autonomy (lifetime),"In-house candidate: realistic way to make PLA/PETG survive UV without an ASA-capable printer","Theisen precedent; coating life under field UV MUST be tested"
Conformal coating (electronics surface treatment),Coating on PCB / sensor board,n/a,n/a,n/a,n/a,n/a,Protects against moisture/corrosion,n/a,n/a,Brush/dip onto PCB; in-house,Low,"Theisen 2020 (conformal coating on sensors; uncoated RH board corroded at month 6)",Autonomy (prevents corrosion failure),"In-house candidate: directly targets the corrosion failure mode seen in literature","Theisen precedent; verify sensor-membrane compatibility (do not coat the sensing aperture)"
