Geometry,Description,Airflow mechanism,Radiation blocking,Water protection,Thermal coupling to electronics,Manufacturability,Quantifiable proxy parameters,Used in literature,Lab candidate (this study),Notes / source
Naturally aspirated stacked-plate / louvered shield (Stevenson-screen type),Horizontal plates or louvers around the sensing element; passive crossflow,Passive crossflow (wind-driven),Good,Moderate (rain shielded by overlap; splash possible),Low if sensor isolated from logger,Moderate print; many similar parts,"Vent open-area ratio; plate spacing; plate count; shield diameter; height AGL",Theisen 2020 (3D-PAWS naturally aspirated shield at 1.5 m),Baseline (reference design),"Theisen: temp RMSE fell from 1.22 to ~1.08 C as wind rose -> ventilation-limited radiation error; key accuracy driver"
Stacked truncated-cone shield,Nested truncated cones separated by spacers; sensor held inside an interior cone,Passive crossflow through cone gaps,Good (sensor shielded from direct light in 2nd cone),Good (20 mm spacers keep interior dry),Low (sensor-only region; no electronics inside),Modular; repeatable; few supports,"Cone spacing (20 mm in Botero); number of cones; separator length; inlet area",Botero 2022 (PLA and ASA versions; SHT10 sensor; 20 mm M3 separators; 1-inch PVC coupling base),Baseline (reference design),"Botero compared exposed vs PLA vs ASA shield vs Vantage Pro reference; modular and customizable; prints fine on open FDM in PETG"
Actively aspirated (fan) shield,Shield with a small fan forcing airflow over the sensor,Forced convection (fan),Best (decouples reading from wind speed),Moderate,Low,Moderate + electromechanical part to maintain,"Fan flow rate (m3/h or m/s at sensor); power draw (W)",Suggested by Theisen 2020 (5 V fan to improve T/RH) - not implemented,"YES - selected to test","Directly attacks ventilation-limited error; costs power -> accuracy vs autonomy tradeoff; adds a failure point"
Two-zone: sealed electronics box + external sensing region/probe,Sealed compartment for logger/power; separate ventilated region or probe for ambient sensors,Sealed box (none) + ventilated sensor region,Depends on sensor-region design,High for electronics; sensor region separate,Designed-low (sensor decoupled from electronics heat),Moderate; two subassemblies,"Electronics-to-sensor separation distance; box IP rating; sensor-region open-area",Theisen 2020 (electrical junction box housed the Raspberry Pi; secondary sensor logged internal box temp),"YES - selected to test (recommended architecture)","Isolates self-heating from ambient measurement; pairs naturally with COTS box + printed shield on open FDM"
Vented / perforated sealed box (sensor inside),Single enclosure with vents or perforations; sensor shares volume with electronics,Passive through vents,Poor-Moderate,Moderate (ingress risk at vents),High (sensor sees electronics self-heating),Easy (single part),"Vent area ratio; internal free volume; distance sensor-to-PCB",General baseline configuration,No (anti-pattern control),"Simple but couples electronics heat into the ambient reading; expect warm bias; keep as negative control"
Commercial IP-rated junction/electronics enclosure,"Off-the-shelf sealed box (e.g., PVC/ABS) with cable glands",Sealed (none unless modified),"n/a (opaque box, not a shield)",High (rated IP65+),High if sensor inside; use as electronics zone only,Off-the-shelf; minimal fabrication,"IP rating (IEC 60529); gland count; internal volume",Theisen 2020 (junction box used for the Pi),"Used as the electronics zone","Best for the sealed electronics zone; unsuitable to house ambient T/RH sensor due to heat/airflow"
Double / multi-louver Stevenson-type shield,Multiple stacked louver layers approaching meteorological-standard screen geometry,Passive crossflow (enhanced),Very good,Good (overlapping louvers),Low (sensor-only region),More parts / longer print but all open-FDM friendly in PETG,"Louver count; louver angle; inter-louver gap; total open-area ratio",Generalization of Theisen-type shield,"YES - selected to test","Higher passive performance than single-layer shield; tests how far passive design can close the gap before needing a fan"
Helical / chimney buoyancy-driven passive shield,Vertical chimney or helical path that promotes stack-effect airflow without a fan,Passive buoyancy (stack effect) + crossflow,Good,Good (tortuous path sheds rain),Low,Open-FDM printable; geometry-heavy,"Stack height; flue cross-section; inlet/outlet area ratio; helix pitch",Not in cited papers (design candidate),"YES - selected to test","Aims for fan-like ventilation without power cost; effectiveness depends on temperature gradient and wind"
COTS junction box + replaceable vent/inlet module,"Off-the-shelf IP-rated electronics box plus a printed, swappable PETG vent or radiation-shield module for the sensor",Passive through printed module (or fan option),Module-dependent (good),"High (COTS box) + module-dependent for sensor region","Designed-low (sensor in module, electronics in sealed box)","Best open-FDM fit: buy the sealed box, print only the small module","Module open-area; module material/finish; box IP rating; gland count",Hybrid of Theisen junction box + printed shield,YES - selected to test (strongest fit for open-FDM lab),"Decouples the hard sealing problem (buy it) from the printable shield problem; modules are cheap to iterate and field-replace"
Reflective stacked-plate handmade shield,"Overlapping plates made from reflective insulation or folded white corrugated sheet",Passive crossflow,Good,Moderate,Low,Very easy and inexpensive,"Plate count; overlap; gap; albedo; open-area ratio","Tarara and Hoheisel 2007; Holden et al. 2013",YES - low-cost benchmark,"Direct literature evidence that stacked plates outperform open/weakly perforated tubes"
Double-wall elbow aspirated shield,"90-degree inlet elbow with concentric air-gap walls, insect screen, central sensor supports, and angled fan diffuser",Forced convection (~0.5 m/s reported centerline velocity),Very good,Good,Low,Three FDM parts + fan,"Fan power; flow speed; elbow angle; air gap; sensor position","Deford et al. 2025",YES - active comparison,"Direct accuracy-autonomy tradeoff; 680 mW fan and durability concerns"
Mixed-finish multilayer eight-vent shield,"Silver-coated square plates, black inner surfaces, annular layers, diversion pipe, eight vents, and cone reflector",Passive through eight vents,Very good,Good,Low,Complex mixed-material assembly,"Vent count/area; coating reflectance; plate spacing; reflector angle","Liu et al. 2023",Optional advanced passive design,"Explicitly addresses direct, reflected, and upwelling radiation"
Bowl-cover flow-guided passive shield,"Upper/lower square plates with symmetric curved bowl-cover shrouds around central probe",Passive flow guided through cavity,Very good,Good,Low,Complex/larger geometry,"Shroud spacing (30 mm reported); plate size; cavity velocity; material conductivity","Jin et al. 2026",Research comparison candidate,"Recent CFD and outdoor validation; manufacturability and weathering still need study"
