id,day,priority,owner,depends_on,task,deliverable,acceptance_criteria,verification,estimate_hours,status,evidence,blocker
EN-S01,1,P0,Agent,,Baseline and bounded plan,docs/SPRINT_ROADMAP.md; evidence/sprint-2026-09-05/baseline.md,Current identity and baseline failure reproduced,python -m compileall -q analysis; python analysis/check_literature_coverage.py; python analysis/thermal_bias.py --no-figure,4,done,evidence/sprint-2026-09-05/baseline.md,
EN-S02,1,P0,Owner,EN-S01,Confirm deployment provenance,docs/DEPLOYMENT_PROVENANCE_REQUEST.md,Confirmed intended window cadence clock and authorized exports,Manual source-backed provenance review,1,blocked,docs/DEPLOYMENT_PROVENANCE_REQUEST.md,Prepared not sent; Owner must supply intended configuration and authorized access
EN-S03,2,P0,Agent,EN-S01,Write regression tests first,analysis/tests/test_compute_metrics.py,Meaningful failures on original duplicate denominator and boundary cases,python -m unittest discover -s analysis/tests -v,1.5,done,evidence/sprint-2026-09-05/regressions.md,
EN-S04,2,P0,Agent,EN-S03,Correct scheduled availability,analysis/compute_metrics.py,Unique slots with explicit schedule and finite channel accounting,python -m unittest discover -s analysis/tests -v,3.5,done,evidence/sprint-2026-09-05/regressions.md,
EN-S05,3,P0,Agent,EN-S04,Integrate log metrics and unavailable provenance,analysis/analyze_deployment_logs.py; analysis/tests/test_deployment_metrics.py,No inferred completeness presented as configured; empty window handled,python -m unittest discover -s analysis/tests -v,2,done,evidence/sprint-2026-09-05/regressions.md,
EN-S06,3,P0,Agent,EN-S01,Correct thermal and evidence narrative,README.md; docs/results.md; analysis/thermal_bias_results.md; paper/manuscript_v1.md; docs/RELIABILITY_METRICS.md,Painted baseline visible and historical rates unverified,Model output comparison and documentation diff review,2.5,done,docs/results.md; evidence/sprint-2026-09-05/final-checks.md,
EN-S07,3,P0,Agent,EN-S05,Add behavioral CI checks,.github/workflows/ci.yml; CONTRIBUTING.md,Behavioral tests part of actual CI and local gates pass,python -m compileall -q analysis; python -m unittest discover -s analysis/tests -v,1.5,done,evidence/sprint-2026-09-05/final-checks.md,
EN-S08,4,P0,Agent,EN-S06;EN-S07,Consumer CLI and candidate freeze,evidence/sprint-2026-09-05/consumer-output.md; evidence/sprint-2026-09-05/candidate.json,Independent CLI invocation and hashed candidate recorded before extra cases,Documented absolute-path CLI from external working directory,4,done,evidence/sprint-2026-09-05/consumer-output.md,
EN-S09A,5,P0,Agent,EN-S08,Bounded developer evaluation,evidence/sprint-2026-09-05/evaluation.md,Expected judgments saved before candidate output; limitations explicit,Frozen deterministic synthetic selection procedure,3,done,evidence/sprint-2026-09-05/evaluation.md,
EN-S09B,5,P1,External,EN-S02;EN-S05,Reconcile actual field metrics,New versioned private-data output directory,Authorized exports plus intended metadata reproduce revised rates,Command prepared only once authorized paths and metadata exist,3,blocked,,Requires confirmed cadence deployment window and raw-log authorization
EN-S10,6,P0,Agent,EN-S08;EN-S09A,Final checks and review index,docs/REVIEW_READY.md,All software must-haves evidenced and incomplete field work named,Full local CI-equivalent checks and git diff --check,3,done,docs/REVIEW_READY.md; evidence/sprint-2026-09-05/final-checks.md,
EN-S11,6,P1,Owner,EN-S10,Independent human review,Review feedback or pending record,Human review identity and findings recorded; no fabricated approval,Ready-to-send review request,1,blocked,,Requires review packet and human availability
EN-D01,2026-09-08,P1,Agent,EN-S06,Promote matched-finish thermal control to reproducible main outputs,analysis/thermal_bias.py; analysis/tests/test_thermal_bias.py; analysis/output/thermal_bias_table.csv; analysis/figures/thermal_bias.png,V0P changes only absorptance and labels; every output includes control; legacy predictions unchanged; physical claims remain gated,python -m unittest discover -s analysis/tests -v; python analysis/thermal_bias.py; python evidence/sprint-2026-09-05/evaluate_candidate.py,2,done,evidence/task-2026-09-08/verification.md,
